timestamp,agent.name,rule.description,rule.level,rule.id
"Jun 30, 2026 @ 23:15:09.474","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 23:15:07.355","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 23:15:07.355","srv-prod","sshd: brute force trying to get access to the system. Authentication failed.","10","5763"
"Jun 30, 2026 @ 23:15:07.352","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 23:15:05.351","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 23:15:05.351","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 23:15:05.350","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 23:15:05.350","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 23:15:05.348","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 23:15:03.356","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 23:15:03.356","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 23:15:03.355","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 23:14:57.194","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 23:14:57.193","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 23:14:57.193","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 23:14:48.550","srv-prod","Wazuh server started.","3","502"
"Jun 30, 2026 @ 23:14:43.183","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 23:14:36.016","srv-prod","Host-based anomaly detection event (rootcheck).","7","510"
"Jun 30, 2026 @ 23:14:35.888","srv-prod","Host-based anomaly detection event (rootcheck).","7","510"
"Jun 30, 2026 @ 23:11:07.902","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 23:11:07.902","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 23:11:01.885","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 23:10:59.882","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 23:10:59.882","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 23:10:59.882","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 23:10:59.880","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 23:10:59.880","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 23:10:51.865","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 23:10:51.864","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 23:10:51.862","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 23:10:45.854","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 23:10:45.853","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 23:10:45.852","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 23:07:33.585","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 23:07:33.584","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 23:07:33.584","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 23:06:05.408","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 23:06:05.408","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 23:06:05.408","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 23:05:43.382","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 23:05:43.381","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 23:05:43.381","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 23:05:03.325","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 23:05:03.325","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 23:05:03.325","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 23:04:13.267","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 23:04:13.267","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 23:04:13.267","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 23:02:51.129","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 23:02:51.129","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 23:02:51.129","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 23:02:27.094","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 23:02:27.092","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 23:02:27.091","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 23:02:25.114","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 23:02:25.114","srv-prod","sshd: authentication failed.","5","5760"
